Park,Name,ShortName,Unit Code,Park Type,Region,State,Year,Date,Recreation Visits,Tent Campers,RV Campers,Backcountry Campers,Latitude,Longitude,Summer,Autumn,Winter,Spring
Crater Lake NP,Crater Lake National Park,Crater Lake,CRLA,National Park,Pacific West,OR,2015,Jan 1 2015,10489,0,0,162,42.94,-122.1,329975,183970,21694,79073
Crater Lake NP,Crater Lake National Park,Crater Lake,CRLA,National Park,Pacific West,OR,2016,Jan 1 2016,3112,0,0,129,42.94,-122.1,490031,181070,15266,69977
Crater Lake NP,Crater Lake National Park,Crater Lake,CRLA,National Park,Pacific West,OR,2017,Jan 1 2017,1935,0,0,112,42.94,-122.1,502233,135258,12354,61904
Crater Lake NP,Crater Lake National Park,Crater Lake,CRLA,National Park,Pacific West,OR,2018,Jan 1 2018,9220,0,0,147,42.94,-122.1,425040,190528,21860,83231
Crater Lake NP,Crater Lake National Park,Crater Lake,CRLA,National Park,Pacific West,OR,2019,Jan 1 2019,3120,0,0,100,42.94,-122.1,468105,156744,14157,65506
Crater Lake NP,Crater Lake National Park,Crater Lake,CRLA,National Park,Pacific West,OR,2020,Jan 1 2020,3492,0,0,48,42.94,-122.1,491777,138976,32943,6804
Crater Lake NP,Crater Lake National Park,Crater Lake,CRLA,National Park,Pacific West,OR,2021,Jan 1 2021,8026,0,0,120,42.94,-122.1,396246,130758,23009,97738
Cuyahoga Valley NP,Cuyahoga Valley National Park,Cuyahoga Valley,CUVA,National Park,Midwest,OH,2012,Jan 1 2012,86320,0,0,0,41.24,-81.55,846233,562129,289562,601798
Cuyahoga Valley NP,Cuyahoga Valley National Park,Cuyahoga Valley,CUVA,National Park,Midwest,OH,2013,Jan 1 2013,84333,0,0,0,41.24,-81.55,832948,444046,279302,546714
Cuyahoga Valley NP,Cuyahoga Valley National Park,Cuyahoga Valley,CUVA,National Park,Midwest,OH,2014,Jan 1 2014,89704,0,0,0,41.24,-81.55,806261,559483,282830,541275
Cuyahoga Valley NP,Cuyahoga Valley National Park,Cuyahoga Valley,CUVA,National Park,Midwest,OH,2015,Jan 1 2015,76795,0,0,0,41.24,-81.55,857281,564056,264214,599061
Cuyahoga Valley NP,Cuyahoga Valley National Park,Cuyahoga Valley,CUVA,National Park,Midwest,OH,2016,Jan 1 2016,85195,0,0,0,41.24,-81.55,974898,631559,285467,531466
Cuyahoga Valley NP,Cuyahoga Valley National Park,Cuyahoga Valley,CUVA,National Park,Midwest,OH,2017,Jan 1 2017,94019,0,0,0,41.24,-81.55,814897,585666,291650,534666
Cuyahoga Valley NP,Cuyahoga Valley National Park,Cuyahoga Valley,CUVA,National Park,Midwest,OH,2018,Jan 1 2018,87889,0,0,0,41.24,-81.55,777417,538697,284122,495817
Cuyahoga Valley NP,Cuyahoga Valley National Park,Cuyahoga Valley,CUVA,National Park,Midwest,OH,2019,Jan 1 2019,88020,0,0,0,41.24,-81.55,854623,572718,280868,529788
Cuyahoga Valley NP,Cuyahoga Valley National Park,Cuyahoga Valley,CUVA,National Park,Midwest,OH,2020,Jan 1 2020,86140,0,0,0,41.24,-81.55,1024671,742368,286887,701702
Cuyahoga Valley NP,Cuyahoga Valley National Park,Cuyahoga Valley,CUVA,National Park,Midwest,OH,2021,Jan 1 2021,86000,0,0,0,41.24,-81.55,925325,708547,292269,649134
Death Valley NP,Death Valley National Park,Death Valley,DEVA,National Park,Pacific West,CA,2012,Jan 1 2012,61713,6765,10746,0,36.24,-116.82,284293,244723,191292,264260
Death Valley NP,Death Valley National Park,Death Valley,DEVA,National Park,Pacific West,CA,2013,Jan 1 2013,60868,5888,8890,0,36.24,-116.82,245934,229233,179031,297774
Death Valley NP,Death Valley National Park,Death Valley,DEVA,National Park,Pacific West,CA,2014,Jan 1 2014,59718,6646,6506,0,36.24,-116.82,283838,287692,209546,320236
Death Valley NP,Death Valley National Park,Death Valley,DEVA,National Park,Pacific West,CA,2015,Jan 1 2015,79547,7760,11536,0,36.24,-116.82,320635,264154,231144,338910
Death Valley NP,Death Valley National Park,Death Valley,DEVA,National Park,Pacific West,CA,2016,Jan 1 2016,69229,7504,9814,0,36.24,-116.82,273835,351884,249954,420610
Death Valley NP,Death Valley National Park,Death Valley,DEVA,National Park,Pacific West,CA,2017,Jan 1 2017,66867,9450,10243,0,36.24,-116.82,392479,341237,239773,321338
Death Valley NP,Death Valley National Park,Death Valley,DEVA,National Park,Pacific West,CA,2018,Jan 1 2018,80396,9768,11558,221,36.24,-116.82,436012,453153,326333,463162
Death Valley NP,Death Valley National Park,Death Valley,DEVA,National Park,Pacific West,CA,2019,Jan 1 2019,111954,1600,1139,221,36.24,-116.82,430132,439059,360127,511627
Death Valley NP,Death Valley National Park,Death Valley,DEVA,National Park,Pacific West,CA,2020,Jan 1 2020,99063,11338,14870,223,36.24,-116.82,111357,237058,320789,150819
Death Valley NP,Death Valley National Park,Death Valley,DEVA,National Park,Pacific West,CA,2021,Jan 1 2021,80263,531,451,267,36.24,-116.82,151761,297919,304007,392864
Dry Tortugas NP,Dry Tortugas National Park,Dry Tortugas,DRTO,National Park,Southeast,FL,2012,Jan 1 2012,6072,256,0,0,24.63,-82.87,14084,9091,16804,20571
Dry Tortugas NP,Dry Tortugas National Park,Dry Tortugas,DRTO,National Park,Southeast,FL,2013,Jan 1 2013,7565,232,0,0,24.63,-82.87,16194,8397,16803,17007
Dry Tortugas NP,Dry Tortugas National Park,Dry Tortugas,DRTO,National Park,Southeast,FL,2014,Jan 1 2014,4907,74,0,0,24.63,-82.87,17052,11476,15527,20810
Dry Tortugas NP,Dry Tortugas National Park,Dry Tortugas,DRTO,National Park,Southeast,FL,2015,Jan 1 2015,6092,202,0,0,24.63,-82.87,19937,12658,16918,21349
Dry Tortugas NP,Dry Tortugas National Park,Dry Tortugas,DRTO,National Park,Southeast,FL,2016,Jan 1 2016,4616,350,0,0,24.63,-82.87,23495,16938,12237,20991
